ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
2000,3000,2000,0.370075
2000,3000,2000,0.253297
2000,4000,3000,0.217296
2000,3000,2000,0.208864
2000,4000,2000,0.735146
2000,3000,2000,0.683980
2000,3000,2000,0.260441
2000,4000,2000,0.902454
2000,3000,3000,0.290329
2000,4000,2000,0.217296
3000,6000,3000,0.651839
2000,3000,2000,0.217296
3500,7000,3500,0.208864
2000,3000,2000,0.691462
2000,4000,2000,0.464298
2000,4000,2000,0.208864
2000,3000,2000,0.850569
2000,4000,2000,0.208864
2000,3000,2000,0.632868
2000,3000,2000,0.216800
2000,3000,2000,0.434160
2500,5000,2500,0.643088
2000,4000,2000,0.208864
2000,3000,2000,0.843584
2000,4000,2000,0.635088
2000,4000,2000,0.635152
2000,4000,2000,0.634656
2500,5000,2500,0.626656
2500,5000,2500,0.234096
12800,15000,12000,0.576320
2000,4000,2000,0.485750
2000,3000,2000,0.635152
2000,3000,2000,0.217296
2000,3000,2000,0.196512
2000,3000,2000,0.236893
2000,3000,2000,0.392496
2000,4000,3000,0.217296
2000,4000,2000,0.626720
2000,4000,2000,0.417856
11200,12000,11200,0.208864
2000,3000,2000,0.208864
2000,3000,3000,0.409296
2000,4000,3000,0.134706
2000,4000,2000,0.208864
2000,4000,2000,0.383568
2000,3000,2000,0.208864
2000,4000,3000,0.033664
4500,9000,4000,0.400992
2500,5000,2500,0.843584
2000,4000,2000,0.417792
2000,3000,2000,0.208864
2000,3000,2000,0.675300
2000,3000,3000,0.217296
2000,3000,2000,0.780355
2000,3000,3000,0.217296
2000,4000,2000,0.216864
2500,5000,2500,0.208864
2500,5000,2500,0.208864
2000,3000,2000,0.208864
2500,5000,2500,0.208864
12000,13000,10000,0.626848
3000,6000,3000,0.293504
2000,3000,2000,0.652979
2000,3000,2000,0.555825
2000,4000,2000,0.208864
3000,6000,3000,0.217296
3500,7000,3500,0.620944
2000,4000,2000,0.668528
2500,5000,2500,0.409424
4000,8000,4000,0.365344
2000,4000,2000,0.208864
2000,3000,2000,0.417792
2500,5000,2500,0.417856
2000,3000,2000,0.216800
2000,3000,2000,0.471202
3500,7000,3500,0.217296
2000,4000,2000,0.757750
2500,5000,2500,0.234096
2000,3000,2000,0.254643
2000,4000,2000,0.217296
17600,20000,17000,0.401120
13600,14000,13600,0.316608
11200,12000,11200,0.192075
2500,5000,2500,0.409424
2000,3000,2000,0.300309
2500,5000,2500,0.544298
2500,5000,2500,0.140695
2000,4000,2000,0.814926
18400,21000,18400,0.417856
14400,16000,14400,0.234224
11200,12000,11200,0.208864
2000,4000,2000,0.208864
2000,3000,2000,0.208864
2500,5000,2500,0.856759
2000,3000,2000,0.217296
2500,5000,2500,0.217296
2000,4000,2000,0.693813
14400,16000,14400,0.259392
2000,4000,2000,0.617792
2000,3000,2000,0.434160
2500,5000,2500,0.907442
2000,3000,4000,0.033664
2000,3000,2000,0.208864
2000,3000,3000,0.163184
11200,12000,11200,0.443152
2000,4000,2000,0.417792
2000,3000,4000,0.136652
2000,3000,2000,0.519577
2500,5000,2500,0.879291
3000,6000,3000,0.242656
4000,8000,4000,0.348416
3000,6000,3000,0.521068
2500,5000,2500,0.208864
2000,3000,2000,0.208864
2000,4000,2000,0.690177
2000,3000,2000,0.367088
2000,3000,2000,0.208864
15200,17000,15200,0.242528
12000,13000,12000,0.231174
3500,7000,3500,0.208864
2500,5000,2500,0.208864
2500,5000,2500,0.417792
2000,3000,2000,0.217232
2500,5000,2500,0.928895
2000,4000,2000,0.788170
2000,3000,2000,0.208864
2000,3000,2000,0.208864
20800,22000,20800,0.191902
3000,6000,3000,0.720082
2000,3000,2000,0.217296
2000,3000,2000,0.400928
2500,5000,2500,0.326421
2000,4000,2000,0.217296
2000,3000,2000,0.444939
2000,4000,2000,0.417856
12800,14000,12800,0.542400
2000,3000,2000,0.434720
2000,4000,2000,0.783535
2500,5000,2500,0.618224
2000,3000,2000,0.208864
2000,4000,3000,0.363618
2500,5000,2500,0.225728
2000,3000,2000,0.633189
2000,3000,3000,0.184476
2000,3000,2000,0.171373
2500,5000,3250,0.108968
12000,14000,12000,0.468576
3000,6000,3000,0.426224
3500,7000,5273,0.182211
2500,5000,2500,0.417856
2500,5000,2500,0.618224
2000,4000,2000,0.208864
2000,3000,2000,0.751355
11200,13000,11000,0.251088
4500,9000,4500,0.417856
2000,3000,3000,0.342833
2000,4000,2000,0.913385
2000,3000,2000,0.408928
3000,6000,3000,0.613793
2000,3000,2000,0.208864
2000,3000,2000,0.208864
