ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
2000,3000,2000,0.851727,,,,
2000,4000,2000,0.217296,,,,
2000,4000,3000,0.033664,,,,
2000,3000,2000,0.208864,,,,
2000,3000,3000,0.033664,,,,
2000,3000,2000,0.763256,,,,
2000,3000,2000,0.2168,,,,
2000,3000,2000,0.515961,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.2168,,,,
2000,4000,2000,0.636444,,,,
2500,5000,2500,0.358254,,,,
2000,3000,2000,0.639306,,,,
2000,3000,2000,0.9104,,,,
2500,5000,2500,0.251152,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.40936,,,,
2500,5000,2500,0.425728,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.614004,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
4000,8000,4000,0.365344,,,,
2000,3000,2000,0.695696,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.516302,,,,
2000,4000,3000,0.217296,,,,
2500,5000,3112,0.225728,,,,
2000,3000,2000,0.217232,,,,
2000,3000,2000,0.208864,,,,
15200,17000,15200,0.34184,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.408864,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.781392,,,,
2000,3000,3000,0.033664,,,,
2000,3000,2000,0.234886,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.217296,,,,
4500,9000,4500,0.720178,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.265069,,,,
3000,6000,3000,0.208864,,,,
2000,3000,2000,0.425664,,,,
2000,4000,2000,0.635152,,,,
2000,3000,2000,0.731433,,,,
2000,3000,3000,0.217296,,,,
2000,3000,2000,0.208864,,,,
4500,9000,4500,0.400992,,,,
2500,5000,2500,0.217296,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
4000,8000,4000,0.400992,,,,
2000,4000,2000,0.409424,,,,
2000,4000,2000,0.417792,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
3500,7000,3500,0.4142,,,,
23200,27000,18000,0.487312,,,,
18400,22000,18400,0.350141,,,,
2500,5000,2500,0.25952,,,,
2000,3000,2000,0.208864,,,,
2000,4000,3000,0.352153,,,,
2500,5000,3000,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.370075,,,,
2000,3000,2000,0.253297,,,,
2000,4000,3000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.735146,,,,
2000,3000,2000,0.68398,,,,
2000,3000,2000,0.260441,,,,
2000,4000,2000,0.902454,,,,
2000,3000,3000,0.290329,,,,
2000,4000,2000,0.217296,,,,
3000,6000,3000,0.651839,,,,
2000,3000,2000,0.217296,,,,
3500,7000,3500,0.208864,,,,
2000,3000,2000,0.691462,,,,
2000,4000,2000,0.464298,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.850569,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.632868,,,,
2000,3000,2000,0.2168,,,,
2000,3000,2000,0.43416,,,,
2500,5000,2500,0.643088,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.843584,,,,
2000,4000,2000,0.635088,,,,
2000,4000,2000,0.635152,,,,
2000,4000,2000,0.634656,,,,
2500,5000,2500,0.626656,,,,
2500,5000,2500,0.234096,,,,
12800,15000,12000,0.57632,,,,
2000,4000,2000,0.48575,,,,
2000,3000,2000,0.635152,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.196512,,,,
2000,3000,2000,0.236893,,,,
2000,3000,2000,0.392496,,,,
