ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.304053,,,,
2000,4000,2000,0.417856,,,,
2000,3000,2000,0.923871,,,,
2500,5000,2500,0.842421,,,,
2500,5000,2500,0.834827,,,,
12000,13000,12000,0.409488,,,,
2000,4000,2000,0.125358,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.409296,,,,
2000,3000,2000,0.033664,,,,
2000,3000,2000,0.294938,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.058534,,,,
2000,3000,2000,0.286728,,,,
4500,9000,4500,0.477458,,,,
2000,4000,2000,0.708973,,,,
2000,3000,2000,0.637478,,,,
2000,4000,2000,0.152069,,,,
2500,5000,2500,0.581307,,,,
3500,7000,3500,0.208864,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.409424,,,,
2000,3000,2000,0.842568,,,,
2000,4000,2000,0.939193,,,,
2000,3000,2000,0.742495,,,,
2000,4000,2000,0.251584,,,,
2000,4000,2000,0.217296,,,,
2000,4000,2000,0.16279,,,,
2000,3000,2000,0.226224,,,,
2000,4000,2000,0.417792,,,,
2000,4000,2000,0.418932,,,,
2500,5000,2500,0.343348,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.835648,,,,
2000,3000,2000,0.725773,,,,
2000,4000,2000,0.208864,,,,
4500,9000,4500,0.426288,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.110838,,,,
3000,6000,3000,0.43472,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.857462,,,,
2000,4000,2000,0.242656,,,,
2000,4000,2000,0.16327,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
3000,6000,3000,0.208864,,,,
2000,4000,2000,0.62672,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.434592,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.341429,,,,
2000,4000,2000,0.417792,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.261991,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.409424,,,,
2000,4000,2000,0.208864,,,,
4500,9000,4500,0.40936,,,,
2000,4000,2000,0.033664,,,,
2000,4000,2000,0.551998,,,,
2000,3000,2000,0.222196,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.417792,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.835584,,,,
2000,3000,2000,0.208864,,,,
16800,19000,16800,0.25952,,,,
12800,15000,12800,0.417728,,,,
2000,3000,2000,0.20755,,,,
2000,3000,2000,0.034096,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.189106,,,,
3000,6000,3000,0.485952,,,,
12800,14000,12800,0.225728,,,,
4000,8000,4000,0.208864,,,,
3000,6000,3000,0.131817,,,,
2500,5000,2500,0.218637,,,,
2000,3000,2000,0.417792,,,,
2000,3000,2000,0.399311,,,,
2000,4000,2000,0.217296,,,,
2000,4000,2000,0.166302,,,,
3000,6000,3000,0.414355,,,,
3000,6000,3000,0.208864,,,,
2000,4000,2000,0.842439,,,,
3500,7000,3500,0.469026,,,,
2000,4000,2000,0.833435,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.835648,,,,
2500,5000,2500,0.225728,,,,
2000,3000,2000,0.409296,,,,
2000,3000,2000,0.618416,,,,
16000,19000,16000,0.276384,,,,
12800,15000,12800,0.375632,,,,
4000,8000,4000,0.549435,,,,
2000,3000,2000,0.352945,,,,
3000,6000,3000,0.634592,,,,
2000,3000,2000,0.225728,,,,
2000,3000,2000,0.732376,,,,
12000,14000,12000,0.443216,,,,
3000,6000,3000,0.431844,,,,
2000,4000,2000,0.424297,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.646586,,,,
2000,4000,2000,0.208864,,,,
